100 600
16 64 454
85 54 598
81 66 589
9 94 267
97 83 262
11 40 97
24 5 249
28 49 452
84 14 217
97 13 369
5 59 415
74 81 939
78 93 168
31 51 942
12 21 380
22 96 73
61 1 440
99 42 780
46 81 12
64 37 497
77 80 283
9 41 90
84 20 460
70 4 338
86 39 829
8 11 440
29 25 421
10 76 727
10 43 900
33 98 418
32 17 52
13 59 133
80 60 999
41 68 135
86 60 959
12 82 337
29 66 39
8 31 312
44 35 849
28 47 307
20 68 252
62 17 974
37 77 462
24 21 843
55 87 983
48 71 148
6 42 394
12 14 222
18 98 429
59 91 821
91 49 747
12 61 973
50 66 844
18 77 195
79 47 934
37 3 67
10 4 590
18 98 996
15 61 831
16 57 337
68 79 787
31 15 93
35 11 645
79 22 149
32 18 339
40 63 187
56 51 626
40 92 481
10 55 870
26 70 462
45 71 20
81 15 711
97 2 821
29 47 84
57 80 391
14 94 784
47 34 233
44 44 847
7 74 783
12 52 603
61 24 45
50 93 189
98 5 272
81 92 117
50 95 772
5 60 615
21 53 7
80 91 619
56 13 193
68 4 96
31 3 470
93 25 838
43 2 421
91 87 675
62 18 14
98 79 426
83 50 162
32 69 441
60 35 245
37 2 372
10 53 238
8 94 591
69 55 287
77 98 879
42 46 99
36 46 776
4 70 753
60 12 218
12 48 3
29 50 996
26 15 9
11 14 385
93 80 537
76 4 116
73 80 859
35 70 398
1 75 882
2 67 305
66 83 493
49 78 931
99 72 833
30 60 704
92 3 682
97 97 110
39 3 138
84 50 805
24 69 4
72 90 112
82 26 662
94 22 169
71 88 403
44 38 610
95 53 76
56 55 961
53 7 371
70 67 271
91 36 865
31 91 860
45 6 35
44 90 255
37 64 566
88 12 121
40 40 96
77 57 202
70 97 684
60 59 542
93 97 553
7 95 846
39 43 320
76 64 280
72 1 118
36 7 500
69 16 850
39 74 235
75 69 446
97 41 193
35 79 122
92 19 765
30 73 988
43 77 546
91 54 354
78 69 476
78 39 166
87 75 593
15 52 514
50 80 195
8 36 924
94 62 692
50 22 407
28 78 366
4 14 35
67 29 890
59 44 845
66 93 370
29 92 96
49 61 979
91 4 517
63 84 686
97 7 464
13 14 900
39 15 648
93 53 543
26 62 276
76 86 460
1 15 281
83 75 268
9 32 745
46 24 805
63 43 817
96 53 966
15 70 525
91 38 466
38 99 108
96 1 122
54 11 637
63 76 305
97 67 442
4 72 334
77 16 195
94 98 678
66 59 497
18 47 69
75 37 548
48 83 773
67 45 206
49 59 591
11 95 759
4 94 41
83 52 691
74 45 905
13 30 506
87 20 894
36 3 946
30 31 334
14 41 718
96 17 359
12 34 728
45 20 168
51 44 547
86 94 133
99 5 742
33 28 118
0 66 77
87 69 133
10 88 889
71 72 514
43 33 549
95 76 348
30 25 866
29 78 951
63 40 460
3 71 26
39 99 345
93 85 220
33 40 897
30 47 913
39 92 482
1 87 489
66 78 652
19 11 825
70 42 458
77 81 956
93 22 787
2 62 257
98 37 787
25 45 936
63 28 113
19 75 683
26 90 908
55 94 546
67 15 646
13 30 108
70 5 661
60 44 16
43 86 737
26 66 175
19 29 318
35 11 616
97 87 258
56 37 286
66 79 55
88 16 817
89 76 75
19 12 541
60 26 235
8 8 537
78 9 750
73 37 850
36 14 159
90 41 179
12 73 914
68 30 805
22 48 398
41 3 132
69 91 287
50 53 728
85 53 887
24 98 266
18 43 130
78 21 751
53 54 122
19 80 895
82 58 269
3 96 102
81 59 794
51 98 232
90 4 430
23 7 358
88 20 882
94 71 554
64 81 214
59 30 370
11 82 264
85 47 54
24 35 467
26 88 147
53 33 733
11 22 788
5 7 561
21 30 427
18 64 727
32 79 280
13 14 715
83 86 150
69 10 372
85 43 835
41 10 671
13 2 669
90 51 913
94 8 601
57 95 176
39 49 351
55 10 208
30 5 563
26 53 134
86 29 941
44 30 223
78 27 320
70 35 584
4 93 273
1 10 573
80 52 253
53 31 266
14 4 476
22 1 367
33 27 654
79 15 642
2 50 714
76 75 512
42 87 120
73 20 109
46 10 75
36 56 599
49 56 5
51 78 103
10 22 79
94 20 754
11 39 433
41 0 718
97 36 775
97 63 260
85 94 689
95 58 25
32 22 384
94 52 999
1 14 501
45 89 457
73 94 16
90 3 524
70 15 603
71 32 176
39 22 422
43 64 474
38 57 181
10 97 619
22 50 543
32 81 789
56 72 73
27 28 452
46 70 175
41 54 50
2 6 100
52 26 238
2 82 830
14 77 997
20 97 570
98 79 954
41 56 780
3 29 348
7 86 621
84 72 328
33 7 442
83 35 333
69 86 833
29 53 274
12 46 966
66 9 314
88 46 497
95 23 402
25 62 955
18 50 29
76 12 888
64 41 395
5 44 19
65 54 815
34 70 679
62 11 365
16 81 874
85 50 931
19 23 100
19 26 98
58 87 852
58 72 507
19 2 474
77 66 877
80 73 606
69 34 170
67 6 802
64 28 733
36 27 519
79 73 357
22 76 780
98 58 563
84 69 233
52 26 491
36 76 341
53 6 825
64 15 75
2 48 74
7 19 920
56 44 517
82 41 515
91 84 517
47 30 834
0 6 317
69 32 881
63 35 34
29 4 598
45 74 949
54 20 757
18 66 151
89 58 689
77 73 467
86 83 301
52 40 924
79 88 348
